"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","Significant"
"ILMN_1740648",10.6710277777778,94.0636526315789,2.45549259892035,0.0247041801464458,0.643713090996158,-3.89880988297501,"CYP2D6","Not Significant"
"ILMN_1750457",29.6596666666668,118.400784210526,2.45510947116135,0.0247236471606368,0.643713090996158,-3.89903714052507,"ZNF268","Not Significant"
"ILMN_1746820",9.97710555555558,69.6542526315789,2.45423590250509,0.0247680878062785,0.643713090996158,-3.89955529171526,"NLRP4","Not Significant"
"ILMN_1673108",17.9141688888889,96.2859210526316,2.45414964317873,0.0247724801085326,0.643713090996158,-3.89960645446212,"AP2A1","Not Significant"
"ILMN_1809813",-64.56881,123.886415789474,-2.45413881359696,0.024773031599738,0.643713090996158,-3.89961287776342,"PGF","Not Significant"
"ILMN_1839721",-7.10452666666662,61.1561421052632,-2.45396815083905,0.0247817240425745,0.643713090996158,-3.89971410168507,"","Not Significant"
"ILMN_1772821",332.103117777778,1321.79263684211,2.45366292299973,0.0247972775006865,0.643713090996158,-3.89989513676705,"","Not Significant"
"ILMN_1872759",-46.9478588888889,179.488889473684,-2.4536020556334,0.024800380209165,0.643713090996158,-3.89993123771841,"","Not Significant"
"ILMN_1820766",-15.3730144444444,97.4622842105263,-2.45340768632114,0.0248102906113227,0.643713090996158,-3.90004651897967,"","Not Significant"
"ILMN_1674943",-145.972637777778,496.01737368421,-2.45278407925846,0.0248421119094367,0.643713090996158,-3.90041637445367,"RNF5P1","Not Significant"
"ILMN_1744905",62.2762066666668,310.163084210526,2.45220810117271,0.0248715368897814,0.643713090996158,-3.90075797007653,"AIG1","Not Significant"
"ILMN_1660110",490.444453333333,1095.71222631579,2.45214048064398,0.0248749935667746,0.643713090996158,-3.90079807308961,"","Not Significant"
"ILMN_1890825",12.9804877777778,73.1503578947368,2.45192591538543,0.0248859648653747,0.643713090996158,-3.90092532209019,"","Not Significant"
"ILMN_1873440",-6.15582666666666,58.7767578947368,-2.45143821289606,0.024910919328907,0.643713090996158,-3.90121455074173,"","Not Significant"
"ILMN_1811478",-15.9518177777777,140.648084210526,-2.45139938830798,0.0249129068922973,0.643713090996158,-3.9012375750566,"MELTF","Not Significant"
"ILMN_1759282",8.26179333333333,38.2046789473684,2.45126493940359,0.0249197909434249,0.643713090996158,-3.90131730748503,"","Not Significant"
"ILMN_1816832",-6.46424222222218,60.6236894736842,-2.45125819377721,0.024920136380009,0.643713090996158,-3.90132130783758,"","Not Significant"
"ILMN_1887466",-5.87981444444442,53.2850052631579,-2.45090419371855,0.0249382706765008,0.643713090996158,-3.90153123801309,"","Not Significant"
"ILMN_1655890",6.39731444444448,56.4988631578947,2.45089907274078,0.0249385330988974,0.643713090996158,-3.90153427483968,"MBTD1","Not Significant"
